,ARI,NMI,Silhouette
k-means,0.344,0.423,0.095
k-means + pca,0.278,0.371,0.326
k-means + tsne,0.259,0.308,0.288
k-means + umap,0.342,0.444,0.305
Birch,0.291,0.347,0.051
Birch + pca,0.276,0.385,0.369
Birch + tsne,0.237,0.332,0.196
Birch + umap,0.289,0.412,0.395
GMM,0.415,0.428,0.062
GMM + pca,0.283,0.375,0.309
GMM + tsne,0.187,0.27,0.222
GMM + umap,0.305,0.43,0.263
PAM,0.305,0.393,0.084
PAM + pca,0.261,0.37,0.319
PAM + tsne,0.263,0.324,0.27
PAM + umap,0.461,0.497,0.386
Spectral Clustering,0.449,0.491,0.106
Spectral Clustering + pca,0.273,0.358,0.324
Spectral Clustering + tsne,0.171,0.265,0.25
Spectral Clustering + umap,0.438,0.486,0.381
