,ARI,NMI,Silhouette
k-means,0.206,0.255,0.153
k-means + pca,0.213,0.263,0.238
k-means + tsne,0.205,0.264,0.358
k-means + umap,0.223,0.278,0.32
Birch,0.165,0.205,0.098
Birch + pca,0.171,0.201,0.224
Birch + tsne,0.141,0.213,0.32
Birch + umap,0.231,0.265,0.264
GMM,0.141,0.208,0.108
GMM + pca,0.173,0.224,0.197
GMM + tsne,0.207,0.258,0.326
GMM + umap,0.249,0.273,0.285
PAM,0.228,0.267,0.142
PAM + pca,0.213,0.263,0.231
PAM + tsne,0.208,0.265,0.357
PAM + umap,0.221,0.276,0.319
Spectral Clustering,0.218,0.249,0.152
Spectral Clustering + pca,0.208,0.249,0.176
Spectral Clustering + tsne,0.176,0.242,0.254
Spectral Clustering + umap,0.221,0.27,0.314
