,ARI,NMI,Silhouette
k-means,0.393,0.441,0.202
k-means + pca,0.407,0.451,0.28
k-means + tsne,0.386,0.409,0.285
k-means + umap,0.5,0.5,0.393
Birch,0.33,0.396,0.157
Birch + pca,0.245,0.351,0.23
Birch + tsne,0.302,0.349,0.249
Birch + umap,0.344,0.437,0.358
GMM,0.361,0.469,0.193
GMM + pca,0.322,0.448,0.217
GMM + tsne,0.237,0.306,0.249
GMM + umap,0.501,0.494,0.371
PAM,0.438,0.445,0.196
PAM + pca,0.446,0.473,0.278
PAM + tsne,0.342,0.382,0.277
PAM + umap,0.494,0.5,0.392
Spectral Clustering,0.464,0.487,0.196
Spectral Clustering + pca,0.423,0.454,0.277
Spectral Clustering + tsne,0.0,0.001,-0.121
Spectral Clustering + umap,0.554,0.518,0.387
