,ARI,NMI,Silhouette
k-means,0.31,0.375,0.183
k-means + pca,0.306,0.365,0.266
k-means + tsne,0.284,0.357,0.376
k-means + umap,0.34,0.397,0.346
Birch,0.208,0.298,0.126
Birch + pca,0.292,0.357,0.238
Birch + tsne,0.23,0.329,0.329
Birch + umap,0.322,0.382,0.317
GMM,0.224,0.33,0.111
GMM + pca,0.159,0.241,0.182
GMM + tsne,0.253,0.35,0.315
GMM + umap,0.301,0.362,0.283
PAM,0.314,0.366,0.159
PAM + pca,0.312,0.368,0.26
PAM + tsne,0.284,0.358,0.376
PAM + umap,0.341,0.397,0.345
Spectral Clustering,0.321,0.377,0.175
Spectral Clustering + pca,0.311,0.358,0.254
Spectral Clustering + tsne,0.334,0.384,0.166
Spectral Clustering + umap,0.334,0.391,0.331
