Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.962,0.897,0.785,0.646,0.795,0.475,0.723,0.626,0.492
k-means + pca,0.96,0.413,0.778,0.881,0.551,0.466,0.693,0.587,0.465
k-means + tsne,0.845,0.692,0.366,0.819,0.581,0.346,0.68,0.496,0.365
k-means + umap,0.961,0.892,0.792,0.949,0.837,0.466,0.73,0.591,0.372
Birch,0.925,0.843,0.676,0.92,0.52,0.561,0.794,0.537,0.4
Birch + pca,0.963,0.883,0.731,0.637,0.53,0.397,0.658,0.543,0.268
Birch + tsne,0.918,0.483,0.439,0.897,0.617,0.367,0.705,0.49,0.303
Birch + umap,0.961,0.892,0.791,0.862,0.662,0.551,0.862,0.699,0.554
GMM,0.976,0.928,0.441,0.655,0.679,0.521,0.656,0.504,0.267
GMM + pca,0.972,0.901,0.56,0.92,0.48,0.473,0.633,0.605,0.444
GMM + tsne,0.948,0.57,0.482,0.949,0.5,0.383,0.656,0.411,0.311
GMM + umap,0.961,0.899,0.792,0.953,0.835,0.493,0.735,0.629,0.293
PAM,0.887,0.427,0.4,0.899,0.473,0.24,0.647,0.421,0.222
PAM + pca,0.961,0.889,0.813,0.613,0.533,0.446,0.688,0.591,0.459
PAM + tsne,0.854,0.653,0.395,0.824,0.575,0.337,0.682,0.509,0.343
PAM + umap,0.961,0.894,0.793,0.95,0.559,0.609,0.729,0.613,0.482
Spectral Clustering,0.971,0.915,0.794,0.957,0.853,0.685,0.949,0.825,0.674
Spectral Clustering + pca,0.972,0.909,0.789,0.92,0.806,0.62,0.705,0.593,0.457
Spectral Clustering + tsne,0.95,0.755,0.33,0.94,0.749,0.302,0.947,0.57,0.337
Spectral Clustering + umap,0.445,0.898,0.796,0.954,0.836,0.565,0.703,0.623,0.444
