,ARI,NMI,Silhouette
k-means,0.646,0.752,0.154
k-means + pca,0.881,0.836,0.381
k-means + tsne,0.819,0.815,0.373
k-means + umap,0.949,0.915,0.748
Birch,0.92,0.876,0.184
Birch + pca,0.637,0.766,0.329
Birch + tsne,0.897,0.857,0.364
Birch + umap,0.862,0.87,0.736
GMM,0.655,0.773,0.1
GMM + pca,0.92,0.88,0.374
GMM + tsne,0.949,0.913,0.372
GMM + umap,0.953,0.919,0.748
PAM,0.899,0.848,0.201
PAM + pca,0.613,0.738,0.334
PAM + tsne,0.824,0.812,0.374
PAM + umap,0.95,0.915,0.748
Spectral Clustering,0.957,0.926,0.19
Spectral Clustering + pca,0.92,0.874,0.379
Spectral Clustering + tsne,0.94,0.899,0.375
Spectral Clustering + umap,0.954,0.922,0.747
