,ARI,NMI,Silhouette
k-means,0.718,0.691,0.129
k-means + pca,0.656,0.642,0.28
k-means + tsne,0.561,0.593,0.343
k-means + umap,0.571,0.672,0.438
Birch,0.533,0.62,0.111
Birch + pca,0.513,0.628,0.252
Birch + tsne,0.749,0.678,0.305
Birch + umap,0.674,0.693,0.587
GMM,0.835,0.771,0.118
GMM + pca,0.787,0.727,0.242
GMM + tsne,0.522,0.544,0.24
GMM + umap,0.572,0.667,0.431
PAM,0.458,0.543,0.098
PAM + pca,0.545,0.606,0.26
PAM + tsne,0.63,0.627,0.342
PAM + umap,0.848,0.772,0.568
Spectral Clustering,0.872,0.803,0.126
Spectral Clustering + pca,0.563,0.663,0.283
Spectral Clustering + tsne,0.75,0.705,0.326
Spectral Clustering + umap,0.854,0.786,0.565
