Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.931,0.839,0.704,0.752,0.743,0.545,0.838,0.703,0.547
k-means + pca,0.926,0.535,0.695,0.836,0.651,0.54,0.802,0.668,0.519
k-means + tsne,0.798,0.648,0.422,0.815,0.593,0.37,0.791,0.584,0.434
k-means + umap,0.93,0.827,0.704,0.915,0.762,0.505,0.845,0.669,0.469
Birch,0.875,0.763,0.57,0.876,0.562,0.463,0.835,0.594,0.389
Birch + pca,0.93,0.811,0.642,0.766,0.615,0.48,0.731,0.552,0.373
Birch + tsne,0.874,0.575,0.377,0.857,0.62,0.375,0.816,0.535,0.385
Birch + umap,0.93,0.827,0.703,0.87,0.678,0.543,0.868,0.647,0.483
GMM,0.953,0.874,0.457,0.773,0.63,0.485,0.724,0.563,0.382
GMM + pca,0.941,0.832,0.599,0.88,0.617,0.519,0.759,0.596,0.492
GMM + tsne,0.906,0.455,0.396,0.913,0.578,0.429,0.744,0.512,0.393
GMM + umap,0.93,0.834,0.7,0.919,0.763,0.506,0.846,0.679,0.45
PAM,0.841,0.505,0.452,0.848,0.571,0.331,0.729,0.504,0.311
PAM + pca,0.928,0.827,0.722,0.738,0.623,0.52,0.79,0.662,0.508
PAM + tsne,0.809,0.667,0.424,0.812,0.589,0.372,0.792,0.588,0.416
PAM + umap,0.93,0.83,0.704,0.915,0.661,0.534,0.844,0.686,0.516
Spectral Clustering,0.943,0.854,0.7,0.926,0.779,0.6,0.917,0.746,0.572
Spectral Clustering + pca,0.943,0.842,0.696,0.874,0.728,0.554,0.806,0.664,0.508
Spectral Clustering + tsne,0.911,0.676,0.377,0.899,0.684,0.365,0.919,0.629,0.418
Spectral Clustering + umap,0.618,0.833,0.706,0.922,0.762,0.521,0.828,0.697,0.506
