Observations and Features:,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.598,0.502,0.388,0.654,0.423,0.335,0.656,0.453,0.32
k-means + pca,0.591,0.49,0.379,0.462,0.371,0.33,0.492,0.375,0.268
k-means + tsne,0.534,0.301,0.244,0.493,0.308,0.23,0.564,0.348,0.238
k-means + umap,0.609,0.485,0.365,0.67,0.444,0.359,0.614,0.422,0.292
Birch,0.59,0.391,0.266,0.513,0.347,0.259,0.546,0.344,0.228
Birch + pca,0.564,0.446,0.354,0.47,0.385,0.31,0.5,0.368,0.271
Birch + tsne,0.574,0.39,0.238,0.461,0.332,0.212,0.542,0.31,0.228
Birch + umap,0.61,0.482,0.361,0.588,0.412,0.338,0.635,0.43,0.281
GMM,0.675,0.432,0.281,0.634,0.428,0.288,0.601,0.415,0.262
GMM + pca,0.583,0.439,0.23,0.488,0.375,0.287,0.489,0.378,0.277
GMM + tsne,0.52,0.381,0.119,0.4,0.27,0.159,0.555,0.257,0.239
GMM + umap,0.597,0.469,0.307,0.647,0.43,0.331,0.621,0.41,0.297
PAM,0.494,0.423,0.306,0.534,0.393,0.287,0.578,0.374,0.282
PAM + pca,0.596,0.491,0.379,0.454,0.37,0.329,0.509,0.355,0.278
PAM + tsne,0.538,0.31,0.23,0.506,0.324,0.247,0.543,0.357,0.244
PAM + umap,0.615,0.483,0.358,0.668,0.497,0.327,0.669,0.429,0.297
Spectral Clustering,0.611,0.492,0.382,0.663,0.491,0.357,0.694,0.493,0.299
Spectral Clustering + pca,0.594,0.492,0.376,0.46,0.358,0.311,0.47,0.344,0.266
Spectral Clustering + tsne,0.597,0.31,0.243,0.535,0.265,0.205,0.646,0.371,0.248
Spectral Clustering + umap,0.611,0.469,0.358,0.67,0.486,0.336,0.621,0.484,0.313
